strain	ori	ter	genomesize	cdscumskew
13LoS70_2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4468104	8211346	268
13LoS70_2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4320448	8063690	87
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4388074	8131316	146
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4444322	8187564	231
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4428657	8171899	144
13LoS70_2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4336789	8080031	111
13LoS70_2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3876441	7619683	74
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3974090	7995984	-205
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3974082	8128648	-250
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3974091	7777896	-197
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3974086	7738527	-156
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3974082	8128649	-248
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	3974070	8141043	-233
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4225538	8263317	-167
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4007815	8194371	-289
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3953749	7977544	-204
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	3942361	8292631	-329
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3940244	7991237	-256
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3978257	7771271	-239
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4000538	8095571	-244
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3992577	7913636	-195
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3977208	8085179	-253
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3958048	7988248	-222
13LoS70_2.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3942995	7976519	-205
13LoS78_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4282260	9334043	-387
13LoS78_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5075024	9518798	-62
13LoS78_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4153398	9371142	119
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4153398	9438768	60
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4153398	9495016	-25
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4153398	9479351	62
13LoS78_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4153398	9387483	95
13LoS78_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4153398	8927135	132
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3867583	9964975	-399
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3867583	9817319	-218
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3867583	9884945	-277
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3867583	9941193	-362
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3867583	9925528	-275
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3867583	9833660	-242
B_diazoefficiens_NK6.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3867583	9373312	-205
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4226923	9185780	117
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4359432	9370535	-435
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	5133402	9222879	-78
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4359432	9290505	-313
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4359432	9346753	-398
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4359432	9331088	-311
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4359432	9239220	-278
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4359432	8778872	-241
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4737561	9155173	4
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4737553	9287837	-41
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4737562	8937085	12
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4737557	8897716	53
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4737553	9287838	-39
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4737541	9300232	-24
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4989009	9422506	42
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4771286	9353560	-80
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4717220	9136733	5
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4705832	9451820	-120
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4703715	9150426	-47
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4741728	8930460	-30
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4764009	9254760	-35
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4756048	9072825	14
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4740679	9244368	-44
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4721519	9147437	-13
B_diazoefficiensUSDA_122.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4706466	9135708	4
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4419132	9264258	-178
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4271476	9116602	-359
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3497506	9184228	-594
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3497506	9240476	-679
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3497506	9224811	-592
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3497506	9132943	-559
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3497506	8672595	-522
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4040454	9048896	60
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4173126	9181560	105
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3822365	8830808	52
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3783001	8791439	11
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4173127	9181561	103
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4185533	9193955	88
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4056339	9316229	22
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4205116	9247283	144
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4042355	9030456	59
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4368830	9345543	184
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4069553	9044149	111
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3811574	8824183	94
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4113593	9148483	99
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3939619	8966548	50
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4126531	9138091	108
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4048760	9041160	77
B_elkanii_USDA_76_Brael.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4052084	9029431	60
B_erythrophleiGAS138.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5587261	10013760	-222
B_erythrophleiGAS138.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	5439605	9866104	135
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	5507231	9933730	194
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	5563479	9989978	279
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	5547814	9974313	192
B_erythrophleiGAS138.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	5455946	9882445	159
B_erythrophleiGAS138.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4995598	9422097	122
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4477910	9798398	-9
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4477902	9931062	-54
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4477911	9580310	-1
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4477906	9540941	40
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4477902	9931063	-52
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4477890	9943457	-37
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4729358	10065731	29
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4511635	9996785	-93
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4457569	9779958	-8
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4446181	10095045	-133
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4444064	9793651	-60
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4482077	9573685	-43
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4504358	9897985	-48
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4496397	9716050	1
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4481028	9887593	-57
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4461868	9790662	-26
B_erythrophleiGAS138.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4446815	9778933	-9
B_erythrophleiGAS242.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5516751	10106375	-504
B_erythrophleiGAS242.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4595125	9958719	-323
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4595125	10026345	-382
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4595125	10082593	-467
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4595125	10066928	-380
B_erythrophleiGAS242.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4595125	9975060	-347
B_erythrophleiGAS242.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4595125	9514712	-310
B_erythrophleiGAS401.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	5113600	8262086	463
B_erythrophleiGAS401.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4439571	8446841	-422
B_erythrophleiGAS401.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4291915	8299185	-65
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3517945	8366811	-300
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3517945	8423059	-385
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3517945	8407394	-298
B_erythrophleiGAS401.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3517945	8315526	-265
B_erythrophleiGAS401.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3847908	7855178	-78
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	2641317	8231479	-57
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	2773989	8364143	-12
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	2423228	8013391	-65
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	2383864	7974022	-106
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	2773990	8364144	-14
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	2786396	8376538	-29
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	2657202	8498812	-95
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	2805979	8429866	27
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	2643218	8213039	-58
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	2969693	8528126	67
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	2670416	8226732	-6
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	2412437	8006766	-23
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	2714456	8331066	-18
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	2540482	8149131	-67
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	2727394	8320674	-9
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	2649623	8223743	-40
B_erythrophleiGAS401.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	2652947	8212014	-57
B_erythrophleiMT12.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	5427657	9832525	57
B_erythrophleiMT12.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	5280001	9684869	-124
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4506031	9752495	-359
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4506031	9808743	-444
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4506031	9793078	-357
B_erythrophleiMT12.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4506031	9701210	-324
B_erythrophleiMT12.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4835994	9240862	-137
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4200491	9617163	59
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4333163	9749827	104
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3982402	9399075	51
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3943038	9359706	10
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4333164	9749828	102
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4345570	9762222	87
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4216376	9884496	21
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4365153	9815550	143
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4202392	9598723	58
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4528867	9913810	183
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4229590	9612416	110
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3971611	9392450	93
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4273630	9716750	98
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4099656	9534815	49
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4286568	9706358	107
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4208797	9609427	76
B_erythrophleiMT12.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4212121	9597698	59
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4910006	9863125	123
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3988380	9715469	-234
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4829976	9783095	1
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4886224	9839343	86
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4870559	9823678	-1
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4778691	9731810	-34
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4318343	9271462	-71
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	5205362	9647763	331
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	5338034	9780427	376
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4987273	9429675	323
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4947909	9390306	282
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	5338035	9780428	374
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	5350441	9792822	359
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	5221247	9915096	293
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	5370024	9846150	415
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	5207263	9629323	330
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	5533738	9944410	455
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	5234461	9643016	382
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4976482	9423050	365
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	5278501	9747350	370
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	5104527	9565415	321
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	5291439	9736958	379
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	5213668	9640027	348
B_genosp._SA-4_str._CB756_Brage.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	5216992	9628298	331
B_japonicumJ5.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	5390024	9872808	38
B_japonicumJ5.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	4768057	10057563	-218
B_japonicumJ5.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	4768057	9909907	-37
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	4768057	9977533	-96
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	4768057	10033781	-181
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	4768057	10018116	-94
B_japonicumJ5.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	4768057	9926248	-61
B_japonicumJ5.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	4768057	9465900	-24
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	4873241	9842201	-3
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	5005913	9974865	42
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	4655152	9624113	-11
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	4615788	9584744	-52
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	5005914	9974866	40
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	5018320	9987260	25
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	4889126	10109534	-41
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	5037903	10040588	81
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	4875142	9823761	-4
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	5201617	10138848	121
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	4902340	9837454	48
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	4644361	9617488	31
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	4946380	9941788	36
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	4772406	9759853	-13
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	4959318	9931396	45
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	4881547	9834465	14
B_japonicumJ5.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	4884871	9822736	-3
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	6419229	9803333	409
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	5497603	9655677	52
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	5497603	9723303	287
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	5497603	9779551	372
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	5497603	9763886	285
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	5497603	9672018	252
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	5497603	9211670	65
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3874465	9587971	-341
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	4007137	9720635	-386
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3656376	9369883	-333
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3617012	9330514	-292
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	4007138	9720636	-384
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4019544	9733030	-369
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3890350	9855304	-303
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4039127	9786358	-425
B_japonicum_SEMIA_5079.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3876366	9569531	-340
